"state","puma12","puma2k","intptlon","intptlat","pop10","afact","AFACT2"
"FIPS state","puma12","puma2k","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2010 census","puma12 to puma2k alloc factor","puma2k to puma12 alloc factor"
"06","03743","05300",-118.169233,34.030209,123952,0.999556,0.992378 
"06","03705","05401",-118.564003,34.245344,164102,0.983047,0.938863 
"06","03706","05401",-118.52659,34.270611,69,0.000506,0.000395 
"06","03725","05401",-118.653123,34.184686,10611,0.062985,0.060708 
"06","03726","05401",-118.640628,34.158492,6,0.000059,0.000034 
"06","03705","05402",-118.528796,34.253646,1226,0.007344,0.008842 
"06","03706","05402",-118.473987,34.290505,134946,0.989238,0.97325 
"06","03723","05402",-118.469366,34.255851,2483,0.017578,0.017908 
"06","03707","05403",-118.418777,34.266872,125021,0.828135,0.977849 
"06","03708","05403",-118.41031,34.234888,466,0.003406,0.003645 
"06","03723","05403",-118.420317,34.23642,2366,0.01675,0.018506 
"06","03707","05404",-118.366004,34.266034,23,0.000152,0.000169 
"06","03708","05404",-118.353871,34.232037,136363,0.996565,0.999831 
"06","03706","05405",-118.457541,34.275349,1399,0.010256,0.010374 
"06","03707","05405",-118.450741,34.277998,1100,0.007286,0.008157 
"06","03723","05405",-118.455746,34.233007,132359,0.937035,0.981469 
"06","03721","05406",-118.387548,34.179006,133453,1,1 
"06","03722","05407",-118.449184,34.18738,159037,0.998286,0.991985 
"06","03727","05407",-118.424722,34.153303,1285,0.008495,0.008015 
"06","03722","05408",-118.48729,34.193011,273,0.001714,0.00159 
"06","03723","05408",-118.468957,34.21892,4045,0.028637,0.023563 
"06","03724","05408",-118.528847,34.187033,167320,1,0.974689 
"06","03725","05408",-118.564034,34.171596,27,0.00016,0.000157 
"06","03725","05409",-118.599283,34.191614,157049,0.932213,0.985133 
"06","03726","05409",-118.643015,34.165831,2370,0.023349,0.014866 
"06","03720","05410",-118.345016,34.13394,505,0.004274,0.003071 
"06","03726","05410",-118.548281,34.055608,13492,0.132922,0.082047 
"06","03727","05410",-118.439151,34.116271,149964,0.991379,0.911951 
"06","03731","05410",-118.388576,34.111102,482,0.004447,0.002931 
"06","03728","05411",-118.467368,33.997287,3711,0.036201,0.018598 
"06","03729","05411",-118.433681,34.038445,195651,0.999428,0.980505 
"06","03730","05411",-118.401156,34.030487,147,0.000894,0.000737 
"06","03731","05411",-118.406255,34.053466,32,0.000295,0.00016 
"06","03729","05412",-118.400031,34.040021,112,0.000572,0.000682 
"06","03730","05412",-118.34914,34.058311,164226,0.999087,0.999318 
"06","03720","05413",-118.338802,34.130734,3451,0.02921,0.015717 
"06","03731","05413",-118.359651,34.09757,39401,0.363481,0.179449 
"06","03732","05413",-118.309423,34.094788,176714,1,0.804833 
"06","03733","05414",-118.296683,34.061824,112679,1,1 
"06","03734","05415",-118.269579,34.069596,189232,0.967562,0.99579 
"06","03744","05415",-118.252367,34.057868,795,0.00466,0.004184 
"06","03746","05415",-118.276628,34.03695,5,0.000046,0.000026 
"06","03718","05416",-118.185801,34.136476,9,0.000067,0.00004 
"06","03720","05416",-118.264006,34.122894,10847,0.091812,0.048741 
"06","03734","05416",-118.249949,34.107526,6260,0.032008,0.028129 
"06","03735","05416",-118.201372,34.104662,193764,1,0.870681 
"06","03736","05416",-118.175287,34.117556,6032,0.052572,0.027105 
"06","03744","05416",-118.210411,34.070386,5631,0.03301,0.025303 
"06","03734","05417",-118.22774,34.072416,79,0.000404,0.000481 
"06","03744","05417",-118.22218,34.045784,164157,0.962329,0.999519 
"06","03734","05418",-118.281347,34.038179,5,0.000026,0.000046 
"06","03746","05418",-118.29869,34.03,109033,0.992734,0.999954 
"06","03747","05419",-118.344226,34.017297,158277,1,1 
"06","03728","05420",-118.471018,33.99666,9064,0.08842,0.07493 
"06","03748","05420",-118.422681,33.976746,111902,0.629494,0.92507 
"06","03750","05421",-118.29597,33.97462,165531,0.957308,0.971637 
"06","03751","05421",-118.279259,33.973995,4832,0.032619,0.028363 
"06","03745","05422",-118.261062,34.005983,122254,1,0.969147 
"06","03746","05422",-118.280893,34.019045,793,0.00722,0.006286 
"06","03750","05422",-118.281968,33.998943,3099,0.017922,0.024567 
"06","03750","05423",-118.281714,33.943606,4283,0.02477,0.029021 
"06","03751","05423",-118.260709,33.951079,143301,0.967381,0.970979 
"06","03758","05424",-118.290384,33.878544,10921,0.070948,0.058626 
"06","03761","05424",-118.309193,33.843445,127,0.001013,0.000682 
"06","03767","05424",-118.28882,33.769445,175236,0.988369,0.940692 
"06","03748","05500",-118.373956,33.981304,286,0.001609,0.002608 
"06","03749","05500",-118.346539,33.95629,108716,0.956207,0.991192 
"06","03759","05500",-118.344509,33.935411,680,0.006018,0.0062 
"06","03758","05600",-118.3203,33.879255,86,0.000559,0.000591 
"06","03761","05600",-118.341515,33.840712,125222,0.998987,0.861248 
"06","03768","05600",-118.361622,33.802684,20088,0.180236,0.138161 
"06","03763","05701",-118.184893,33.851018,141698,0.993535,1 
"06","03766","05702",-118.19549,33.787963,102125,0.999158,0.532681 
"06","03769","05702",-118.168208,33.778325,89594,0.890021,0.467319 
"06","03765","05703",-118.124455,33.79251,128664,0.989015,0.999526 
"06","03769","05703",-118.155811,33.796783,61,0.000606,0.000474 
"06","03713","05800",-117.878725,34.037338,13747,0.125353,0.129399 
"06","03715","05800",-117.920713,34.057077,88935,0.74044,0.837138 
"06","03716","05800",-117.940147,34.049258,3555,0.032215,0.033463 
"06","03753","05900",-118.132627,33.937242,110192,0.999582,0.98627 
"06","03755","05900",-118.097323,33.933452,1534,0.012656,0.01373 
"06","03754","06000",-118.066199,33.930157,45,0.000331,0.000426 
"06","03755","06000",-118.083249,33.905686,105549,0.870837,0.999574 
"06","02905","06101",-118.872424,34.808927,17,0.000091,0.000092 
"06","03701","06101",-118.345179,34.495905,121573,0.869615,0.661298 
"06","03702","06101",-118.496417,34.433029,35568,0.189089,0.193473 
"06","03703","06101",-118.231119,34.678709,12691,0.077558,0.069033 
"06","03704","06101",-118.161513,34.600006,12751,0.077623,0.069359 
