afactor,puma2000,czone
1,200601,29502
1,200602,29502
1,200603,29502
1,200604,29502
.779,200700,29204
.221,200700,29502
1,200800,29204
.211,200900,29401
.065,200900,29303
.202,200900,29204
.114,200900,29302
.408,200900,29402
.281,201000,29302
.718,201000,29005
.436,201100,29004
.379,201100,29301
.168,201100,29001
.018,201100,29002
.174,201200,31004
.022,201200,31006
.036,201200,29008
.101,201200,31002
.274,201200,29003
.334,201200,31001
.059,201200,31003
.164,201300,29302
.835,201300,29301
1,201401,29301
1,201402,29301
1,201403,29301
.416,201500,29303
.249,201500,29401
.146,201500,29901
.098,201500,29403
.091,201500,29502
.556,201600,29403
.444,201600,29901
.566,210100,25401
.177,210100,25402
.258,210100,25300
.089,210200,25401
.624,210200,25200
.288,210200,13200
.077,210300,25200
.923,210300,5900
.088,210400,13200
.912,210400,5401
.276,210500,5401
.723,210500,5402
.432,210600,4601
.037,210600,5402
.532,210600,4602
.28,210700,4402
.72,210700,4401
.254,210800,4502
.517,210800,4401
.23,210800,301
.298,210900,4501
.702,210900,4502
.999,211000,17000
.272,211100,12901
.224,211100,12903
.505,211100,4402
.373,211200,12903
.627,211200,12901
.457,211300,13000
.542,211300,13103
1,211400,13000
.704,211500,25200
.295,211500,13200
1,211600,13200
1,211701,13101
1,211702,13101
1,211703,13101
1,211704,13101
1,211705,13101
.955,211800,13101
.046,211800,13102
1,211901,12901
1,211902,12901
1,212000,12901
.106,212100,4501
.017,212100,12901
.168,212100,17100
.306,212100,12902
.403,212100,12702
.886,212200,17100
.115,212200,17000
1,212300,12701
1,212400,12701
.077,212500,12901
.074,212500,13102
.848,212500,12701
1,220101,4002
1,220102,4002
1,220200,4002
.136,220300,4004
.246,220300,4003
.619,220300,4002
1,220400,3901
.084,220500,3203
.04,220500,3202
.094,220500,4003
.65,220500,3901
.132,220500,3902
.138,220600,4003
.165,220600,3202
.206,220600,3201
.492,220600,3600
1,220700,3600
1,220800,3700
1,220900,3700
1,221000,3800
1,221100,3800
1,221200,3800
1,221300,3500
1,221401,3500
1,221402,3500
1,221501,3500
1,221502,3500
1,221600,3500
1,221700,3500
1,221801,3300
1,221802,3300
1,221803,3300
1,221804,3300
1,221901,3300
1,221902,3300
1,221903,3300
1,221904,3300
.999,221905,3300
1,222001,3300
1,222002,3300
1,222100,3400
1,222200,3400
.524,222300,3400
.476,222300,3800
1,222400,3300
1,222500,3800
.907,230100,20600
.093,230100,20100
1,230200,20100
.175,230300,20600
.825,230300,20100
1,230400,20100
.999,230500,20001
1,230600,20100
1,230700,20100
1,230800,20100
1,230900,20001
.315,231000,20002
.685,231000,20003
1,240100,17501
1,240200,17400
1,240300,11304
1,240400,11302
1,240501,11302
1,240502,11302
1,240503,11302
1,240504,11302
1,240505,11302
1,240506,11302
1,240507,11302
1,240601,11302
1,240602,11302
.183,240700,19902
.817,240700,19800
1,240801,11302
1,240802,11302
1,240803,11302
1,240804,11302
1,240805,11302
1,240806,11302
1,240901,11302
1,240902,11302
1,241001,11304
1,241002,11304
1,241003,11304
1,241004,11304
1,241005,11304
1,241006,11304
1,241007,11304
1,241101,11304
1,241102,11304
1,241103,11304
1,241104,11304
1,241105,11304
1,241106,11304
1,241107,11304
1,241201,11302
1,241202,11302
1,241203,11302
1,241204,11302
1,241300,19902
1,241400,19901
1,241500,11304
1,241600,11304
1,250100,20902
.131,250200,20902
.192,250200,20500
.678,250200,20800
1,250300,20500
1,250400,20500
1,250500,20500
1,250600,20500
1,250700,20500
1,250800,20500
1,250900,20500
1,251000,20500
1,251100,20500
1,251200,20500
1,251300,20500
1,251400,20500
.031,251500,20800
.969,251500,20500
1,251600,20800
1,251700,20800
1,251800,20800
1,251900,20800
1,252000,20800
.965,252100,20500
.035,252100,20800
1,252200,20500
1,252300,20500
1,252400,20500
1,252500,20500
1,252600,20500
1,252700,20500
1,252800,20500
1,252900,20500
1,253000,20500
1,253100,20500
1,253200,20500
1,253301,20500
1,253302,20500
1,253303,20500
1,253304,20500
1,253305,20500
1,253400,20500
1,253500,20500
1,253600,20500
1,253700,20500
1,253800,20500
1,253900,20500
1,254000,20500
.76,254100,20500
.24,254100,20401
1,254200,20401
1,254300,20401
1,254400,20401
.091,254500,20500
.909,254500,20401
1,254600,20500
.093,254700,20402
.761,254700,20500
.146,254700,20403
1,254800,20500
.39,260100,11402
.242,260100,21003
.368,260100,21002
.233,260200,11402
.686,260200,11401
.081,260200,21002
.548,260300,11403
.452,260300,11401
.28,260400,12301
.405,260400,12302
.316,260400,12001
.187,260500,12302
.407,260500,12401
.406,260500,12402
.368,260600,11900
.4,260600,12402
.232,260600,12401
.321,260700,11600
.68,260700,11900
1,260800,11900
1,260900,11900
1,261000,11800
.159,261100,12002
.422,261100,12001
.42,261100,12200
1,261200,12200
1,261300,12200
1,261401,12200
1,261402,12200
1,261403,12200
1,261500,12200
.824,261600,12301
.176,261600,12002
.349,261700,12100
.651,261700,12200
1,261800,11700
1,261900,11700
1,262000,11700
1,262100,12200
1,262200,11600
1,262301,11600
1,262302,11600
1,262400,13600
1,262501,11600
1,262502,11600
1,262503,11600
1,262504,11600
1,262505,11600
1,262506,11600
1,262507,11600
1,262508,11600
1,262601,12100
1,262602,12100
.321,262700,13600
.679,262700,13700
1,262800,12100
1,262900,11500
1,263000,11500
1,263100,13501
1,263200,11600
1,263300,11600
1,263400,11600
1,263500,11600
1,263600,11600
1,263701,11600
1,263702,11600
1,263703,11600
1,263704,11600
1,263705,11600
1,263706,11600
1,263707,11600
1,263708,11600
1,263801,11600
1,263802,11600
1,263803,11600
1,263804,11600
1,263805,11600
1,263806,11600
1,263807,11600
1,263900,11600
