czone,cty_fips,cty_pop,cty_labf
6402,47049,14669,6351
5700,47051,34725,16642
4901,47053,46315,21757
5500,47055,25741,12248
200,47057,17095,7889
100,47059,55853,28320
6401,47061,13362,5430
200,47063,50480,25669
6401,47065,285536,14283
301,47067,6739,2261
4901,47069,23377,9839
5100,47071,22633,10274
100,47073,44565,20894
4902,47075,19437,8481
4903,47077,21844,10781
5800,47079,27888,12488
5500,47081,16754,7500
5900,47083,7018,2937
5800,47085,15795,7270
6302,47087,9297,4251
200,47089,33016,16413
1001,47091,13766,6055
302,47093,335749,17351
4902,47095,7129,2733
4902,47097,23491,10208
6200,47099,35303,16318
5500,47101,9247,4188
6000,47103,28157,14030
302,47105,31255,15708
6502,47107,42383,20480
5100,47109,22422,10192
5600,47111,15906,7767
4901,47113,77982,37966
6401,47115,24860,11588
5500,47117,21539,11142
5500,47119,54812,27324
6502,47121,8033,3692
6502,47123,30541,14046
5900,47125,100498,54159
5700,47127,4721,2539
302,47129,17300,6913
25300,47131,31717,15232
6302,47133,17636,8410
4903,47135,6612,2916
6302,47137,4548,2030
6502,47139,13643,6333
6302,47141,51373,26072
6402,47143,24344,11227
302,47145,47227,22354
5600,47147,41494,20919
5600,47149,118570,64199
4602,47151,18358,7147
6401,47153,8863,4222
200,47155,51043,26809
5202,47157,826330,41608
5600,47159,14143,6877
5900,47161,9479,4291
100,47163,143596,69733
5600,47165,103281,54248
5202,47167,37568,17589
5600,47169,5920,2959
100,47171,16549,7587
302,47173,13694,6293
6301,47175,4846,2288
6301,47177,32992,16813
100,47179,92315,46083
6200,47181,13935,6572
25300,47183,31972,15805
6301,47185,20090,9795
5600,47187,81021,42578
5600,47189,67675,35980
33300,48001,48024,17073
31401,48003,14338,6196
32201,48005,69884,30792
31700,48007,17892,7355
32601,48009,7973,3707
30903,48011,2021,868
31301,48013,30533,12383
32000,48015,19832,8970
30902,48017,7064,3379
31301,48019,10562,4778
31201,48021,38263,18196
32603,48023,4385,1978
31302,48025,25135,10604
32900,48027,191088,96935
31301,48029,1185394,57490
31201,48031,5972,2789
32401,48033,799,387
32801,48035,15125,6339
33500,48037,81665,36950
31900,48039,191707,91490
31800,48041,121862,60181
31404,48043,8681,4116
30906,48045,1971,858
31700,48047,8204,3080
32701,48049,34371,14811
31800,48051,13625,5888
31202,48053,22677,9361
31201,48055,26392,11767
31101,48057,19053,8477
32501,48059,11859,5117
31600,48061,260120,99728
33500,48063,9904,4381
30904,48065,6576,2884
33500,48067,29982,12529
30902,48069,9070,3735
32000,48071,20088,9447
33300,48073,41049,17369
32502,48075,5953,2389
32601,48077,10024,4564
30802,48079,4377,1807
32301,48081,3424,1425
32701,48083,9710,3940
33100,48085,264036,15121
30905,48087,3573,1571
31102,48089,18383,7958
31301,48091,51832,24819
32702,48093,13381,5791
32302,48095,3044,1301
33100,48097,30777,14288
32900,48099,64213,32689
32502,48101,2247,972
31401,48103,4652,1994
31403,48105,4078,1762
30802,48107,7304,2913
30605,48109,3407,1598
31007,48111,5461,2460
33100,48113,1852810,10297
32401,48115,14349,5558
30903,48117,19153,8184
33200,48119,4857,2021
33100,48121,273525,16040
31101,48123,18840,7670
32503,48125,2571,1081
31501,48127,10433,3569
30906,48129,3696,1578
31700,48131,12918,4453
32501,48133,18488,7507
31401,48135,118934,54222
32304,48137,2266,915
33100,48139,85167,41929
30601,48141,591610,25862
32702,48143,27991,13441
32801,48145,17712,7018
33902,48147,24804,10731
31102,48149,20095,9232
32402,48151,4842,2048
30908,48153,8497,3618
32604,48155,1794,805
32000,48157,225421,11585
33500,48159,7802,3273
32802,48161,15818,6771
31502,48163,13472,5420
30801,48165,14123,5888
32000,48167,217399,10779
30802,48169,5143,2144
31303,48171,17204,7687
32401,48173,1447,583
31101,48175,5980,2489
31103,48177,17205,7565
30904,48179,23967,10683
33902,48181,95021,45156
33400,48183,104948,50424
31800,48185,18828,7143
31301,48187,64873,32125
30908,48189,34671,15732
30906,48191,3905,1627
32702,48193,7733,3297
31005,48195,5848,2620
32604,48197,5283,2171
