"state","puma12","puma2k","stab","PUMAname","PUMA2kName","hus10","afact","AFACT2"
"FIPS state","puma12","puma2k","State Postal Code","PUMA12 Name","PUMA 2K Name","Total HUs, 2010 census","puma12 to puma2k alloc factor","puma2k to puma12 alloc factor"
"06","03714","05200","CA","Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights","0605200",243,0.007,0.006 
"06","03714","06108","CA","Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights","0606108",35001,0.993,0.999 
"06","03715","05800","CA","Los Angeles County (East Central)--West Covina City","0605800",27229,0.797,0.832 
"06","03715","06105","CA","Los Angeles County (East Central)--West Covina City","0606105",1324,0.039,0.031 
"06","03715","06107","CA","Los Angeles County (East Central)--West Covina City","0606107",4675,0.137,0.135 
"06","03715","06109","CA","Los Angeles County (East Central)--West Covina City","0606109",952,0.028,0.032 
"06","03716","05800","CA","Los Angeles County (East Central)--La Puente & Industry Cities","0605800",973,0.037,0.03 
"06","03716","06105","CA","Los Angeles County (East Central)--La Puente & Industry Cities","0606105",1208,0.046,0.028 
"06","03716","06109","CA","Los Angeles County (East Central)--La Puente & Industry Cities","0606109",23972,0.917,0.815 
"06","03717","05000","CA","Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities","0605000",10,0,0 
"06","03717","05100","CA","Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities","0605100",566,0.008,0.019 
"06","03717","06102","CA","Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities","0606102",6496,0.096,0.12 
"06","03717","06104","CA","Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities","0606104",60345,0.895,0.963 
"06","03718","05000","CA","Los Angeles County (Central)--Pasadena City","0605000",57727,0.978,0.969 
"06","03718","05416","CA","Los Angeles County (Central)--Pasadena City","0605416",3,0,0 
"06","03718","06102","CA","Los Angeles County (Central)--Pasadena City","0606102",319,0.005,0.006 
"06","03718","06103","CA","Los Angeles County (Central)--Pasadena City","0606103",2,0,0 
"06","03718","06104","CA","Los Angeles County (Central)--Pasadena City","0606104",961,0.016,0.015 
"06","03719","04900","CA","Los Angeles County (Central)--Glendale City","0604900",75964,1,0.996 
"06","03720","04800","CA","Los Angeles County (Central)--Burbank City","0604800",44303,0.861,1 
"06","03720","04900","CA","Los Angeles County (Central)--Burbank City","0604900",6,0,0 
"06","03720","05410","CA","Los Angeles County (Central)--Burbank City","0605410",255,0.005,0.003 
"06","03720","05413","CA","Los Angeles County (Central)--Burbank City","0605413",2362,0.046,0.021 
"06","03720","05416","CA","Los Angeles County (Central)--Burbank City","0605416",4517,0.088,0.061 
"06","03721","05406","CA","Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village)","0605406",54845,1,1 
"06","03722","05407","CA","Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks)","0605407",60430,0.998,0.989 
"06","03722","05408","CA","Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks)","0605408",97,0.002,0.002 
"06","03723","05402","CA","Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City)","0605402",740,0.019,0.017 
"06","03723","05403","CA","Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City)","0605403",611,0.016,0.021 
"06","03723","05405","CA","Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City)","0605405",36628,0.934,0.983 
"06","03723","05408","CA","Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City)","0605408",1239,0.032,0.019 
"06","03724","05408","CA","Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana)","0605408",62615,1,0.979 
"06","03725","05401","CA","Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills)","0605401",3804,0.06,0.061 
"06","03725","05408","CA","Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills)","0605408",10,0,0 
"06","03725","05409","CA","Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills)","0605409",59501,0.935,0.985 
"06","03725","06126","CA","Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills)","0606126",306,0.005,0.007 
"06","03726","05401","CA","Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities","0605401",2,0,0 
"06","03726","05409","CA","Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities","0605409",881,0.021,0.015 
"06","03726","05410","CA","Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities","0605410",5990,0.145,0.073 
"06","03726","06126","CA","Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities","0606126",34455,0.834,0.824 
"06","03727","05407","CA","Los Angeles County (Central)--LA City (Central/Pacific Palisades)","0605407",678,0.009,0.011 
"06","03727","05410","CA","Los Angeles County (Central)--LA City (Central/Pacific Palisades)","0605410",75651,0.991,0.921 
"06","03727","06125","CA","Los Angeles County (Central)--LA City (Central/Pacific Palisades)","0606125",7,0,0 
"06","03728","05411","CA","Los Angeles County (Southwest)--Santa Monica City","0605411",1710,0.029,0.018 
"06","03728","05420","CA","Los Angeles County (Southwest)--Santa Monica City","0605420",5792,0.099,0.097 
"06","03728","06125","CA","Los Angeles County (Southwest)--Santa Monica City","0606125",50912,0.872,0.411 
"06","03729","05411","CA","Los Angeles County (West Central)--LA City (West Central/Westwood & West Los Angeles)","0605411",94315,1,0.981 
